"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GFworldtour: #TourTVE @pedrodelgadoweb dato curioso, el ganador de la @letapedutour ciclodeportiva hizo el tiempo de la grupeta ayer <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>…",FALSE,0,NA,2017-07-21 12:30:10,FALSE,NA,"888375545901318144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jullybean128",45,TRUE,FALSE,NA,NA
"#TourTVE Hola Carlos y Pedro. En España se llama esos aviones Patrulla Águila (son los mejores del mundo). Saludos",FALSE,1,NA,2017-07-21 12:29:23,FALSE,NA,"888375352317407232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","IJoseiri",0,FALSE,FALSE,NA,NA
"RT @GFworldtour: #TourTVE @pedrodelgadoweb dato curioso, el ganador de la @letapedutour ciclodeportiva hizo el tiempo de la grupeta ayer <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>…",FALSE,0,NA,2017-07-21 12:28:26,FALSE,NA,"888375111417348096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SA400pgmr2030",45,TRUE,FALSE,NA,NA
"En la vuelta ponen y se respetan esas redes para el público!
Creo q el problema del #TourTVE #tourdefrance2017 es l… https://t.co/gd7VJxqOaU",FALSE,0,NA,2017-07-21 12:27:39,TRUE,NA,"888374914448846848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gumi_el",0,FALSE,FALSE,NA,NA
"Los marginal gains han llegado a los conventos... #TourTVE https://t.co/Rl8SSMEdkE",FALSE,0,NA,2017-07-21 12:25:29,FALSE,NA,"888374369088622592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","showgarcia",0,FALSE,FALSE,NA,NA
"Si resulta que el Movistar está corriendo el Tour. He visto uno en la escapada. #TourTVE",FALSE,0,NA,2017-07-21 12:24:11,FALSE,NA,"888374041240907776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","catmatrix",0,FALSE,FALSE,NA,NA
"@txakitoledo ¡es genial! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #TourTVE",FALSE,0,"txakitoledo",2017-07-21 12:23:59,FALSE,"888057604848726016","888373990892466179","122647751","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pslcbs",0,FALSE,FALSE,NA,NA
"#TourTVE Veis factible un ataque en el último puerto por parte de uran?",FALSE,0,NA,2017-07-21 12:23:37,FALSE,NA,"888373898592612352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alvarotg98",0,FALSE,FALSE,NA,NA
"¿Creéis que mañana en la contrarreloj de Marsella Thomas De Gendt podrá escaparse de sí mismo? #TourTVE @pedrodelgadoweb",FALSE,2,NA,2017-07-21 12:23:11,FALSE,NA,"888373789058314241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pslcbs",0,FALSE,FALSE,NA,NA
"Aquí las opciones para hoy , si llega la fuga  #TDF2017 #TourTVE",FALSE,0,NA,2017-07-21 12:20:52,FALSE,NA,"888373206758957057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CiclismoaTope12",0,FALSE,FALSE,NA,NA
